Job Title,Job Skills,Company Name,Location,Link,posted
Senior Python Backend Developer, · Git,CROCOSOFT -,"New Cairo, Cairo, Egypt ",https://wuzzuf.net/jobs/p/xoIvuBsGtAnO-Senior-Python-Backend-Developer-CROCOSOFT-Cairo-Egypt?o=13&l=sp&t=sj&a=python|search-v3|hpb,2 months ago
Full Stack Python Developer, · Information Technology (IT),El Geel El Rakamy -,"Helwan, Cairo, Egypt ",https://wuzzuf.net/jobs/p/WdeSIOMzyMtU-Full-Stack-Python-Developer-El-Geel-El-Rakamy-Cairo-Egypt?o=14&l=sp&t=sj&a=python|search-v3|hpb,2 months ago
Senior Backend (Python) Engineer - Customer Domain, · postgres,Nana -,"Sheraton, Cairo, Egypt ",https://wuzzuf.net/jobs/p/K2YCB4wsIGwr-Senior-Backend-Python-Engineer---Customer-Domain-Nana-Cairo-Egypt?o=15&l=sp&t=sj&a=python|search-v3|hpb,2 months ago
.css-o171kl{-webkit-text-decoration:none;text-decoration:none;color:inherit;}Data Analyst, · Analysis,INSITE OOH -,"Zamalek, Cairo, Egypt ",https://wuzzuf.net/jobs/p/FBpizNd0T9sS-Data-Analyst-INSITE-OOH-Cairo-Egypt?o=16&l=sp&t=sj&a=python|search-v3|hpb,4 days ago
Technology Administrator, · Data Analysis,Cultiv -,"Heliopolis, Cairo, Egypt ",https://wuzzuf.net/jobs/p/RbeuoSBWC5mi-Technology-Administrator-Cultiv-Cairo-Egypt?o=17&l=sp&t=sj&a=python|search-v3|hpb,2 days ago
Junior Artificial Intelligence (AI) Engineer,Python,Limitless Labs -,"Cairo, Egypt ",https://wuzzuf.net/jobs/p/IbmKAU8v81eb-Junior-Artificial-Intelligence-AI-Engineer-Limitless-Labs-Cairo-Egypt?o=18&l=sp&t=sj&a=python|search-v3|hpb,3 days ago
Senior Back End Developer, · Tableau,Charisma Design -,"Cairo, Egypt ",https://wuzzuf.net/jobs/p/LsGvowi1VsTh-Senior-Back-End-Developer-Charisma-Design-Cairo-Egypt?o=19&l=sp&t=sj&a=python|search-v3|hpb,4 days ago
System Administrator - Application Expert, · BI,Squadio -,"Alexandria, Egypt ",https://wuzzuf.net/jobs/p/4SGhPyMcMnLZ-System-Administrator---Application-Expert-Squadio-Alexandria-Egypt?o=20&l=sp&t=sj&a=python|search-v3|hpb,4 days ago
Senior Backend Developer, · Media Monitoring,Jobtology -,"Maadi, Cairo, Egypt ",https://wuzzuf.net/jobs/p/bB7gseWPl7mJ-Senior-Backend-Developer-Jobtology-Cairo-Egypt?o=21&l=sp&t=sj&a=python|search-v3|hpb,4 days ago
Full Stack Developer - PHP & ReactJS Full Time, · Mass Media,Tqniat Lab L.L.C -,"Nasr City, Cairo, Egypt ",https://wuzzuf.net/jobs/p/hBJkcPIpB20Y-Full-Stack-Developer---PHP-ReactJS-Full-Time-Tqniat-Lab-L-L-C-Cairo-Egypt?o=22&l=sp&t=sj&a=python|search-v3|hpb,4 days ago
Senior Backend - Django & DevOps Developer, · Data Analytics,Confidential -,"Maadi, Cairo, Egypt ",https://wuzzuf.net/jobs/p/5d78xlryZHOU-Senior-Backend---Django-DevOps-Developer-Cairo-Egypt?o=23&l=sp&t=sj&a=python|search-v3|hpb,5 days ago
Programming Instructor, · Information Technology (IT),Confidential -,"Tanta, Gharbia, Egypt ",https://wuzzuf.net/jobs/p/W3mxiuqfRWiy-Programming-Instructor-Gharbia-Egypt?o=24&l=sp&t=sj&a=python|search-v3|hpb,7 days ago
Devops Engineer, · Linux,Al Beshara -,"Nasr City, Cairo, Egypt ",https://wuzzuf.net/jobs/p/NPzyGhTFoWEk-Devops-Engineer-Al-Beshara-Cairo-Egypt?o=25&l=sp&t=sj&a=python|search-v3|hpb,13 days ago
Senior Data Engineer, · Operating Systems,Smartlytics Consultancy  -,"New Cairo, Cairo, Egypt ",https://wuzzuf.net/jobs/p/LJWK2nQ0Kep5-Senior-Data-Engineer-Smartlytics-Consultancy-Cairo-Egypt?o=26&l=sp&t=sj&a=python|search-v3|hpb,9 days ago
STEM Teacher (Robotics Teacher), · TCP,TechAdemics -,"New Cairo, Cairo, Egypt ",https://wuzzuf.net/jobs/p/L0PzXzRkaqsw-STEM-Teacher-Robotics-Teacher-TechAdemics-Cairo-Egypt?o=27&l=sp&t=sj&a=python|search-v3|hpb,10 days ago
Programming Instructor, · IP,Tyro -,"Cairo, Egypt ",https://wuzzuf.net/jobs/p/GqLOpZK6lU4T-Programming-Instructor-Tyro-Cairo-Egypt?o=28&l=sp&t=sj&a=python|search-v3|hpb,11 days ago
Backend Developer, · RouterOS,Profolio Consulting -,"Seattle, United States ",https://wuzzuf.net/jobs/p/OKERIXIyBVuk-Backend-Developer-Profolio-Consulting-Seattle-United-States?o=29&l=sp&t=sj&a=python|search-v3|hpb,11 days ago
PHP Lead, · Cisco,LINK Development -,"Maadi, Cairo, Egypt ",https://wuzzuf.net/jobs/p/DFzGiKmBM1NN-PHP-Lead-LINK-Development-Cairo-Egypt?o=30&l=sp&t=sj&a=python|search-v3|hpb,11 days ago
.css-o171kl{-webkit-text-decoration:none;text-decoration:none;color:inherit;}Data Analyst Supervisor, · BI,SURE International Technology -,"Cairo, Egypt ",https://wuzzuf.net/jobs/p/uwn9RWfwBHEl-Data-Analyst-Supervisor-SURE-International-Technology-Cairo-Egypt?o=31&l=sp&t=sj&a=python|search-v3|hpb,2 days ago
Odoo Developer, · Data Analysis,National Technology -,"Nasr City, Cairo, Egypt ",https://wuzzuf.net/jobs/p/gaYkxRo7htpi-Odoo-Developer-National-Technology-Cairo-Egypt?o=32&l=sp&t=sj&a=python|search-v3|hpb,3 days ago
Ruby ON Rails Developer, · Analysis,International Advanced  -,"Nasr City, Cairo, Egypt ",https://wuzzuf.net/jobs/p/YQgVwd52Uxta-Ruby-ON-Rails-Developer-International-Advanced-Cairo-Egypt?o=33&l=sp&t=sj&a=python|search-v3|hpb,5 days ago
Junior Odoo developer,Python,Al-Esraa pharmaceutical optima -,"Cairo, Egypt ",https://wuzzuf.net/jobs/p/i48lYfbirF6E-Junior-Odoo-developer-Al-Esraa-pharmaceutical-optima-Cairo-Egypt?o=34&l=sp&t=sj&a=python|search-v3|hpb,5 days ago
Software Engineer - Alexandria, · Analytics,Softxpert Incorporation  -,"Alexandria, Egypt ",https://wuzzuf.net/jobs/p/dHPWINubpP6N-Software-Engineer---Alexandria-Softxpert-Incorporation-Alexandria-Egypt?o=35&l=sp&t=sj&a=python|search-v3|hpb,5 days ago
Backend Developer, · Commerce,Khales -,"Giza, Egypt ",https://wuzzuf.net/jobs/p/qkNfO2K6OTvh-Backend-Developer-Khales-Giza-Egypt?o=36&l=sp&t=sj&a=python|search-v3|hpb,12 days ago
Senior Software Developer, · Computer Science,GET Group- Egypt -,"Sheraton, Cairo, Egypt ",https://wuzzuf.net/jobs/p/z1bwVmdMFLFd-Senior-Software-Developer-GET-Group--Egypt-Cairo-Egypt?o=37&l=sp&t=sj&a=python|search-v3|hpb,12 days ago
Mid Level Software Developer, · Mathematics,GET Group- Egypt -,"Sheraton, Cairo, Egypt ",https://wuzzuf.net/jobs/p/nyifbb6yvfkJ-Mid-Level-Software-Developer-GET-Group--Egypt-Cairo-Egypt?o=38&l=sp&t=sj&a=python|search-v3|hpb,12 days ago
Python Developer, · Communication skills,OdooTec -,"New Cairo, Cairo, Egypt ",https://wuzzuf.net/jobs/p/ZdWb6pnGtLmB-Python-Developer-OdooTec-Cairo-Egypt?o=39&l=sp&t=sj&a=python|search-v3|hpb,2 months ago
Devops Engineer, · Computer Science,Garment IO -,"Sheikh Zayed, Giza, Egypt ",https://wuzzuf.net/jobs/p/FjeDU7q8D1M8-Devops-Engineer-Garment-IO-Giza-Egypt?o=40&l=sp&t=sj&a=python|search-v3|hpb,22 days ago
Senior Devops Engineer, · Information Technology (IT),Trufla -,"Heliopolis, Cairo, Egypt ",https://wuzzuf.net/jobs/p/Gk3et7nA7Vmr-Senior-Devops-Engineer-Trufla-Cairo-Egypt?o=41&l=sp&t=sj&a=python|search-v3|hpb,23 days ago
DevOps Team Lead, · Odoo,Trufla -,"Heliopolis, Cairo, Egypt ",https://wuzzuf.net/jobs/p/dibePRID48A3-DevOps-Team-Lead-Trufla-Cairo-Egypt?o=42&l=sp&t=sj&a=python|search-v3|hpb,23 days ago
Automation Test Engineer,Python,eT3 - Tomorrow Information Technology -,"New Cairo, Cairo, Egypt ",https://wuzzuf.net/jobs/p/VPSxsP4OH024-Automation-Test-Engineer-eT3---Tomorrow-Information-Technology-Cairo-Egypt?o=43&l=sp&t=sj&a=python|search-v3|hpb,24 days ago
SQL Developer, · Telecom Engineering,eT3 - Tomorrow Information Technology -,"New Cairo, Cairo, Egypt ",https://wuzzuf.net/jobs/p/X1ZIGPZ6FkVx-SQL-Developer-eT3---Tomorrow-Information-Technology-Cairo-Egypt?o=44&l=sp&t=sj&a=python|search-v3|hpb,24 days ago
Back End Engineer (All Levels) - Munich or Remote (f/m/x), · Computer Science,FINN -,"Munich, Germany ",https://wuzzuf.net/jobs/p/RKI3LrikkbFq-Back-End-Engineer-All-Levels---Munich-or-Remote-fmx-FINN-Munich-Germany?o=45&l=sp&t=sj&a=python|search-v3|hpb,21 days ago
.css-o171kl{-webkit-text-decoration:none;text-decoration:none;color:inherit;}Odoo Developer opportunity,Python,Copartners -,"Nasr City, Cairo, Egypt ",https://wuzzuf.net/jobs/p/qpQztpYR1yEg-Odoo-Developer-opportunity-Copartners-Cairo-Egypt?o=46&l=sp&t=sj&a=python|search-v3|hpb,25 days ago
Full Stack Developer, · Odoo,AZ-studios -,"New Cairo, Cairo, Egypt ",https://wuzzuf.net/jobs/p/F36TVZI4EvLn-Full-Stack-Developer-AZ-studios-Cairo-Egypt?o=47&l=sp&t=sj&a=python|search-v3|hpb,25 days ago
Senior Software Testing Engineer, · Software Development,Astute Imaging -,"Nasr City, Cairo, Egypt ",https://wuzzuf.net/jobs/p/8fNk4IkCcb1i-Senior-Software-Testing-Engineer-Astute-Imaging-Cairo-Egypt?o=48&l=sp&t=sj&a=python|search-v3|hpb,25 days ago
Software Test Lead, · Web Development,RDI -,"Dokki, Giza, Egypt ",https://wuzzuf.net/jobs/p/wuG927vmmOqt-Software-Test-Lead-RDI-Giza-Egypt?o=49&l=sp&t=sj&a=python|search-v3|hpb,25 days ago
Full Stack Technical Lead, · javaScript,RDI -,"Dokki, Giza, Egypt ",https://wuzzuf.net/jobs/p/TDPT5GVXzyC5-Full-Stack-Technical-Lead-RDI-Giza-Egypt?o=50&l=sp&t=sj&a=python|search-v3|hpb,25 days ago
Senior Devops Engineer, · JQuery,Confidential -,"Maadi, Cairo, Egypt ",https://wuzzuf.net/jobs/p/bV1M7RYSCx4U-Senior-Devops-Engineer-Cairo-Egypt?o=51&l=sp&t=sj&a=python|search-v3|hpb,26 days ago
Full Stack Web Developer -E Commerce Technical Manager, · CSS,Confidential -,"Nasr City, Cairo, Egypt ",https://wuzzuf.net/jobs/p/lrLJLIVfx2F9-Full-Stack-Web-Developer--E-Commerce-Technical-Manager-Cairo-Egypt?o=52&l=sp&t=sj&a=python|search-v3|hpb,26 days ago
Full-Stack Development Engineer, · Angular,Confidential -,"New Cairo, Cairo, Egypt ",https://wuzzuf.net/jobs/p/eRvfGnt89LI6-Full-Stack-Development-Engineer-Cairo-Egypt?o=53&l=sp&t=sj&a=python|search-v3|hpb,23 days ago
Senior Devops Engineer, · Information Technology (IT),Botit -,"Cairo, Egypt ",https://wuzzuf.net/jobs/p/DrIQZyZUSOcz-Senior-Devops-Engineer-Botit-Cairo-Egypt?o=54&l=sp&t=sj&a=python|search-v3|hpb,27 days ago
Senior Odoo Developer, · OOP,Perfect-Tech -,"Cairo, Egypt ",https://wuzzuf.net/jobs/p/bAqsIkXunHDI-Senior-Odoo-Developer-Perfect-Tech-Cairo-Egypt?o=55&l=sp&t=sj&a=python|search-v3|hpb,26 days ago
DevOps & Cloud Engineer, · Programming,RDI -,"Giza, Giza, Egypt ",https://wuzzuf.net/jobs/p/hmq87Qo46S0q-DevOps-Cloud-Engineer-RDI-Giza-Egypt?o=56&l=sp&t=sj&a=python|search-v3|hpb,25 days ago
Middleware Developer,Python,B.TECH -,"Nasr City, Cairo, Egypt ",https://wuzzuf.net/jobs/p/qZswEMl5FZgT-Middleware-Developer-B-TECH-Cairo-Egypt?o=57&l=sp&t=sj&a=python|search-v3|hpb,26 days ago
Back-End Developer, · Django,Reno Systems -,"Maadi, Cairo, Egypt ",https://wuzzuf.net/jobs/p/Gm6cGGU7CATI-Back-End-Developer-Reno-Systems-Cairo-Egypt?o=58&l=sp&t=sj&a=python|search-v3|hpb,30 days ago
IT Specialist, · Software Development,J&T Express Egypt -,"New Cairo, Cairo, Egypt ",https://wuzzuf.net/jobs/p/LNnKIR5DuneO-IT-Specialist-JT-Express-Egypt-Cairo-Egypt?o=59&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
Odoo Developer, · SQL,Alarabia Group -,"10th of Ramadan City, Cairo, Egypt ",https://wuzzuf.net/jobs/p/Rbh53j40XOEP-Odoo-Developer-Alarabia-Group-Cairo-Egypt?o=60&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
.css-o171kl{-webkit-text-decoration:none;text-decoration:none;color:inherit;}Senior WordPress Developer- Health Care SaaS Platform, · CSPO,Confidential -,"Alexandria, Egypt ",https://wuzzuf.net/jobs/p/nbscKB0kDoTR-Senior-WordPress-Developer--Health-Care-SaaS-Platform-Alexandria-Egypt?o=61&l=sp&t=sj&a=python|search-v3|hpb,28 days ago
Devops Engineer, · Product Management,Confidential -,"Nasr City, Cairo, Egypt ",https://wuzzuf.net/jobs/p/3kXNVPG60nwL-Devops-Engineer-Cairo-Egypt?o=62&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
ICT Teacher (Alexandria), · PHP Development,Egyptian English Language schools -,"Mandara, Alexandria, Egypt ",https://wuzzuf.net/jobs/p/YsEcL2dzwzWs-ICT-Teacher-Alexandria-Egyptian-English-Language-schools-Alexandria-Egypt?o=63&l=sp&t=sj&a=python|search-v3|hpb,30 days ago
Azure Support Engineer, · WordPress,Alnafitha -,"Nasr City, Cairo, Egypt ",https://wuzzuf.net/jobs/p/P064CAHPPewo-Azure-Support-Engineer-Alnafitha-Cairo-Egypt?o=64&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
Back End Developer (Onsite), · JavaScript,JBF Digital Marketing Agency -,"Mohandessin, Giza, Egypt ",https://wuzzuf.net/jobs/p/6dBd1jAb413m-Back-End-Developer-Onsite-JBF-Digital-Marketing-Agency-Giza-Egypt?o=65&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
Power BI Analyst,Python,Dynamicslink -,"Nasr City, Cairo, Egypt ",https://wuzzuf.net/jobs/p/9KaMGqzG1270-Power-BI-Analyst-Dynamicslink-Cairo-Egypt?o=66&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
Sr. Odoo Developer, · Health Care,Al Rabat -,"Nasr City, Cairo, Egypt ",https://wuzzuf.net/jobs/p/qj8u73JHg2BV-Sr-Odoo-Developer-Al-Rabat-Cairo-Egypt?o=67&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
Software Project Manager, · DevOps,JBF Digital Marketing Agency -,"Mohandessin, Giza, Egypt ",https://wuzzuf.net/jobs/p/fX90tr3Mm4Lk-Software-Project-Manager-JBF-Digital-Marketing-Agency-Giza-Egypt?o=68&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
Senior System & Network Admin, · Information Technology (IT),Cashcall -,"Maadi, Cairo, Egypt ",https://wuzzuf.net/jobs/p/6HOdrBNpsHyZ-Senior-System-Network-Admin-Cashcall-Cairo-Egypt?o=69&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
Enterprise Software Developer, · Jenkins,eT3 - Tomorrow Information Technology -,"New Cairo, Cairo, Egypt ",https://wuzzuf.net/jobs/p/FJYBP3NOV6g7-Enterprise-Software-Developer-eT3---Tomorrow-Information-Technology-Cairo-Egypt?o=70&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
Robotics & Steam Instructor (for Kids), · Git,Edu-Zone -,"Cairo, Egypt ",https://wuzzuf.net/jobs/p/jtIkwdia5alO-Robotics-Steam-Instructor-for-Kids-Edu-Zone-Cairo-Egypt?o=71&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
Full Stack Senior Java Developer (Remotely for USA), · MongoDB,Mobile Wave 3 -,"Nasr City, Cairo, Egypt ",https://wuzzuf.net/jobs/p/RvxHh93gyQn7-Full-Stack-Senior-Java-Developer-Remotely-for-USA-Mobile-Wave-3-Cairo-Egypt?o=72&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
Odoo Developer, · JSON,TechCastle -,"Cairo, Egypt ",https://wuzzuf.net/jobs/p/Aea7PFSHgYNl-Odoo-Developer-TechCastle-Cairo-Egypt?o=73&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
Senior Data Engineer | Tableau Is A Must, · Computer Science,Fatura  -,"Maadi, Cairo, Egypt ",https://wuzzuf.net/jobs/p/T3uMzvm3Cjb9-Senior-Data-Engineer-Tableau-Is-A-Must-Fatura-Cairo-Egypt?o=74&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
Application Engineer - Ansys Maxwell, · Software,Fluid Codes -,"Cairo, Egypt ",https://wuzzuf.net/jobs/p/lvXJiOMAI2aE-Application-Engineer---Ansys-Maxwell-Fluid-Codes-Cairo-Egypt?o=75&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
.css-o171kl{-webkit-text-decoration:none;text-decoration:none;color:inherit;}Security Engineer, · Computer Science,Itechs -,"Heliopolis, Cairo, Egypt ",https://wuzzuf.net/jobs/p/VfmTGjRF09GN-Security-Engineer-Itechs-Cairo-Egypt?o=76&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
Machine Translation Engineer, · Communication,Future Group -,"Giza, Egypt ",https://wuzzuf.net/jobs/p/ZfMbp8Qpkepo-Machine-Translation-Engineer-Future-Group-Giza-Egypt?o=77&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
DevOps Engineer, · CEH,Neureveal -,"Maadi, Cairo, Egypt ",https://wuzzuf.net/jobs/p/Oq4yhPMuVdGM-DevOps-Engineer-Neureveal-Cairo-Egypt?o=78&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
Senior Infrastructure Engineer, · CISM,siParadigm Egypt -,"Sheraton, Cairo, Egypt ",https://wuzzuf.net/jobs/p/YFohBwOciYOG-Senior-Infrastructure-Engineer-siParadigm-Egypt-Cairo-Egypt?o=79&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
Odoo Developer, · CISSP,Isky Development -,"6th of October, Giza, Egypt ",https://wuzzuf.net/jobs/p/HSi4bBTaHw5C-Odoo-Developer-Isky-Development-Giza-Egypt?o=80&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
Senior Odoo Developer, · Information Technology (IT),ABS  -,"Maadi, Cairo, Egypt ",https://wuzzuf.net/jobs/p/TV9mOBauGddV-Senior-Odoo-Developer-ABS-Cairo-Egypt?o=81&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
Odoo Developer, · Fortinet,Arrows for information technology  -,"Dokki, Giza, Egypt ",https://wuzzuf.net/jobs/p/nS5EH56zBvf5-Odoo-Developer-Arrows-for-information-technology-Giza-Egypt?o=82&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
Research And Development Engineer,Python,Simplex -,"Cairo, Egypt ",https://wuzzuf.net/jobs/p/Qf7QBoOzf4zI-Research-And-Development-Engineer-Simplex-Cairo-Egypt?o=83&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
"RPA Developer (Automation Anywhere, UiPath, Blue Prism)", · English,Tarqeem Solutions -,"Mohandessin, Giza, Egypt ",https://wuzzuf.net/jobs/p/e3IR8vKsKKIy-RPA-Developer-Automation-Anywhere-UiPath-Blue-Prism-Tarqeem-Solutions-Giza-Egypt?o=84&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
Backend Team Lead (Java), · Localization,Confidential -,"New Cairo, Cairo, Egypt ",https://wuzzuf.net/jobs/p/LrYuwvYg8Vza-Backend-Team-Lead-Java-Cairo-Egypt?o=85&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
Senior Backend Engineer, · Machine Learning,LxT -,"Mohandessin, Giza, Egypt ",https://wuzzuf.net/jobs/p/q5gRd0NwEntJ-Senior-Backend-Engineer-LxT-Giza-Egypt?o=86&l=sp&t=sj&a=python|search-v3|hpb,2 months ago
Senior Devops Engineer, · Machine Translation,SURE International Technology -,"Cairo, Egypt ",https://wuzzuf.net/jobs/p/PdXxOOf4pE5D-Senior-Devops-Engineer-SURE-International-Technology-Cairo-Egypt?o=87&l=sp&t=sj&a=python|search-v3|hpb,2 months ago
Backend Developer, · Natural Language Processing,LxT -,"Mohandessin, Giza, Egypt ",https://wuzzuf.net/jobs/p/NC3rSyO6wtYC-Backend-Developer-LxT-Giza-Egypt?o=88&l=sp&t=sj&a=python|search-v3|hpb,2 months ago
Senior Odoo developer, · Software Development,Bitsera Solutions -,"Cairo, Egypt ",https://wuzzuf.net/jobs/p/qtgKQNs1ZDhR-Senior-Odoo-developer-Bitsera-solutions-Cairo-Egypt?o=89&l=sp&t=sj&a=python|search-v3|hpb,2 months ago
Odoo Developer,Python,Elitbuzz -,"Maadi, Cairo, Egypt ",https://wuzzuf.net/jobs/p/OtqAucOcDRLj-Odoo-Developer-Elitbuzz-Cairo-Egypt?o=90&l=sp&t=sj&a=python|search-v3|hpb,2 months ago
.css-o171kl{-webkit-text-decoration:none;text-decoration:none;color:inherit;}AI / Machine Learning Engineering Lead, · Engineering,Unifonic -,"Cairo, Egypt ",https://wuzzuf.net/jobs/p/ENCERkCJFiDk-AI-Machine-Learning-Engineering-Lead-Unifonic-Cairo-Egypt?o=91&l=sp&t=sj&a=python|search-v3|hpb,2 months ago
Data Management Engineer, · Information Technology (IT),BBI-Consultancy -,"Nasr City, Cairo, Egypt ",https://wuzzuf.net/internship/2HJ8FVGGnUNa-Data-Management-Engineer-BBI-Consultancy-Cairo-Egypt?o=92&l=sp&t=sj&a=python|search-v3|hpb,2 months ago
Senior Data Engineer, · Machine Learning,Cashcall -,"Maadi, Cairo, Egypt ",https://wuzzuf.net/jobs/p/RifksK0V3Z5x-Senior-Data-Engineer-Cashcall-Cairo-Egypt?o=93&l=sp&t=sj&a=python|search-v3|hpb,2 months ago
Senior Software Quality Engineer - Security, · NLP,Unifonic -,"Cairo, Egypt ",https://wuzzuf.net/jobs/p/kxPckki5BtPk-Senior-Software-Quality-Engineer---Security-Unifonic-Cairo-Egypt?o=94&l=sp&t=sj&a=python|search-v3|hpb,2 months ago
Service Delivery Lead (Networking & Security),Python,NOK for Human Capital Solutions -,"Cairo, Egypt ",https://wuzzuf.net/jobs/p/nd3mGBnexe2x-Service-Delivery-Lead-Networking-Security-NOK-for-Human-Capital-Solutions-Cairo-Egypt?o=95&l=sp&t=sj&a=python|search-v3|hpb,2 months ago
Service Delivery Lead (.NET/DevOps), · Software Engineering,NOK for Human Capital Solutions -,"Cairo, Egypt ",https://wuzzuf.net/jobs/p/MayuIrB56Ep8-Service-Delivery-Lead-NETDevOps-NOK-for-Human-Capital-Solutions-Cairo-Egypt?o=96&l=sp&t=sj&a=python|search-v3|hpb,2 months ago
Senior Devops Engineer, · Statistics,Unifonic -,"Cairo, Egypt ",https://wuzzuf.net/jobs/p/s9YyMIoagHoR-Senior-Devops-Engineer-Unifonic-Cairo-Egypt?o=97&l=sp&t=sj&a=python|search-v3|hpb,2 months ago
Back-End Developer (Apache AirFlow) - Remotely, · Kubernetes,Delivery-tech -,"Cairo, Egypt ",https://wuzzuf.net/jobs/p/BHpm4CqBsWjv-Back-End-Developer-Apache-AirFlow---Remotely-Delivery-tech-Cairo-Egypt?o=98&l=sp&t=sj&a=python|search-v3|hpb,2 months ago
Ruby On Rails Software Developer - German Account, · Information Technology (IT),Procrew -,"Alexandria, Egypt ",https://wuzzuf.net/jobs/p/GVLwFKHoMCyr-Ruby-On-Rails-Software-Developer---German-Account-Procrew-Alexandria-Egypt?o=99&l=sp&t=sj&a=python|search-v3|hpb,2 months ago
